ind,pop,quadrat,plant,lon,lat,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9
QRL2-1-3D,QRL2,1,3D,45.3294,-74.8488,198:198,96:96,217:224,200:210,229:235,201:201,140:144,132:135,184:188
QRL2-1-3E,QRL2,1,3E,45.3294,-74.8488,198:198,112:112,240:241,NA,249:249,201:201,144:144,132:132,184:184
QRL2-1-3F,QRL2,1,3F,44.8885,-77.8552,198:198,106:106,241:241,198:198,221:237,199:199,144:144,132:132,190:190
QRL2-1-4,QRL2,1,4,44.8885,-77.8552,196:198,96:106,211:240,196:206,243:249,199:201,146:146,122:132,200:200
QRL2-1-43,QRL2,1,43,44.2304,-75.2698,198:198,96:96,238:253,196:196,229:245,199:199,144:146,128:132,190:198
QRL2-1-45,QRL2,1,45,44.2304,-75.2698,190:198,96:106,241:241,196:196,229:239,201:201,144:144,116:122,180:182
QRL2-1-46,QRL2,1,46,43.3071,-76.2365,198:198,101:106,209:238,198:206,221:227,201:201,144:144,128:135,190:192
QRL2-1-47,QRL2,1,47,43.3071,-76.2365,200:200,96:128,238:238,206:208,235:247,201:201,140:146,128:132,186:200
QRL2-1-48,QRL2,1,48,44.7582,-77.2172,194:198,106:128,232:234,206:206,227:231,201:201,140:144,128:132,198:202
QRL2-1-6,QRL2,1,6,44.7582,-77.2172,198:198,96:106,234:238,196:208,233:235,199:199,140:144,132:132,184:200
QRL2-1-52,QRL2,1,52,44.1994,-76.697,198:198,106:106,230:249,196:196,217:217,NA,144:144,122:128,180:180
QRL2-1-7,QRL2,1,7,44.1994,-76.697,198:198,96:106,209:209,206:206,235:235,201:201,140:144,116:122,194:194
QRL2-1-71,QRL2,1,71,44.272,-77.4064,198:198,96:106,232:253,198:208,227:233,199:199,142:144,156:122,190:190
QRL2-1-74,QRL2,1,74,44.272,-77.4064,188:198,106:106,230:251,196:206,213:229,201:201,144:144,122:132,196:196
QRL2-1-8,QRL2,1,8,44.7232,-76.0959,198:198,106:106,236:236,206:208,239:245,201:201,144:146,128:132,184:200
QRL2-1-9,QRL2,1,9,44.7232,-76.0959,198:198,106:112,228:232,200:208,213:213,199:199,140:144,124:132,202:202
QRL2-2-4A,QRL2,2,4A,44.2946,-76.5973,198:202,106:106,209:232,208:210,229:235,199:203,140:144,NA,194:200
QRL2-2-4B,QRL2,2,4B,44.2946,-76.5973,186:200,106:112,236:257,198:208,233:247,199:199,144:144,NA,192:192
QRL2-2-4C,QRL2,2,4C,43.196,-76.2875,188:188,96:106,234:234,196:196,247:247,199:199,144:144,138:138,190:190
QRL2-2-4D,QRL2,2,4D,43.196,-76.2875,198:202,106:106,213:249,196:202,237:243,201:201,144:146,132:132,184:184
QRL2-2-4E,QRL2,2,4E,47.3498,-78.1618,198:202,106:106,213:249,198:198,229:235,199:199,144:144,132:132,190:190
QRL2-2-4F,QRL2,2,4F,47.3498,-78.1618,198:200,96:106,232:243,196:208,233:235,199:199,140:146,132:132,190:204
QRL2-2-4H,QRL2,2,4H,44.7226,-75.7781,188:204,96:112,228:234,196:208,233:243,197:199,144:146,122:132,192:200
QRL2-2-4I,QRL2,2,4I,44.7226,-75.7781,198:198,106:106,213:213,208:208,225:237,203:203,144:144,132:132,178:178
QRL2-2-4G,QRL2,2,4G,44.5032,-76.4621,188:198,106:112,209:209,196:208,229:233,NA,146:146,132:132,190:190
QRL2-2-4J,QRL2,2,4J,44.5032,-76.4621,188:188,96:106,209:230,198:198,215:229,199:199,140:146,132:132,190:200
QRL2-2-4K,QRL2,2,4K,44.0545,-77.5732,198:200,96:106,228:238,198:210,229:233,199:199,142:146,122:132,184:190
QRL2-2-4L,QRL2,2,4L,44.0545,-77.5732,216:216,96:96,213:228,208:208,243:249,201:201,144:144,NA,196:200
QRL2-2-4M,QRL2,2,4M,45.0229,-74.7587,198:198,106:106,234:238,208:208,239:245,201:201,144:144,132:132,192:192
QRL2-2-4P,QRL2,2,4P,45.0229,-74.7587,198:198,96:96,234:251,208:210,227:235,201:201,144:144,128:132,190:202
QRL2-2-4R,QRL2,2,4R,45.1354,-77.0728,198:198,96:96,251:251,198:208,239:239,201:201,144:144,128:135,190:190
QRL2-2-4V,QRL2,2,4V,45.1354,-77.0728,180:198,96:106,211:228,196:210,233:237,201:201,142:146,132:132,190:192
QRL2-2-4W,QRL2,2,4W,44.6896,-76.0711,202:202,106:106,232:241,206:206,233:235,201:201,144:144,132:132,190:200
QRL2-2-4X,QRL2,2,4X,44.6896,-76.0711,192:198,96:112,238:238,208:210,225:239,201:201,144:146,122:132,184:190
QRL2-2-4S,QRL2,2,4S,44.2315,-77.0455,198:198,106:106,213:213,196:196,247:247,NA,144:144,122:135,202:202
QRL2-2-4Y,QRL2,2,4Y,44.2315,-77.0455,198:198,106:106,211:211,196:206,247:247,199:201,140:140,132:132,200:200
QTUR-1-1A,QTUR,1,1A,45.2753,-75.8779,196:198,96:96,234:234,198:210,229:229,199:201,140:144,128:132,190:190
QTUR-1-1B,QTUR,1,1B,45.2753,-75.8779,198:198,96:96,234:249,198:204,227:229,199:199,144:144,128:132,184:196
QTUR-1-1C,QTUR,1,1C,45.8476,-76.2795,198:198,96:112,236:236,210:212,221:229,201:201,144:144,128:132,184:184
QTUR-1-1D,QTUR,1,1D,45.8476,-76.2795,220:222,96:96,213:213,202:208,233:233,201:201,140:140,128:128,184:184
QTUR-1-1E,QTUR,1,1E,44.6278,-76.4633,188:198,96:112,234:241,208:210,227:233,199:201,144:146,132:138,192:204
QTUR-1-1F,QTUR,1,1F,44.6278,-76.4633,198:198,96:106,236:249,198:208,239:241,199:201,140:140,132:132,184:198
QTUR-1-1G,QTUR,1,1G,45.1975,-76.6005,198:198,96:96,236:236,208:208,239:239,201:201,140:146,132:132,184:184
QTUR-1-1H,QTUR,1,1H,45.1975,-76.6005,190:198,96:96,234:253,208:210,229:243,199:199,142:146,132:132,196:196
QTUR-1-1I,QTUR,1,1I,46.2881,-75.7173,198:198,96:96,238:241,208:210,227:229,201:201,142:146,132:132,190:200
QTUR-1-1J,QTUR,1,1J,46.2881,-75.7173,198:200,112:112,209:238,208:208,239:239,201:201,146:150,132:132,204:206
QTUR-1-1K,QTUR,1,1K,45.2369,-76.3372,198:198,96:96,209:238,208:208,227:227,201:201,142:142,132:132,196:196
QTUR-1-1L,QTUR,1,1L,45.2369,-76.3372,198:198,96:96,228:234,198:198,227:237,199:251,144:144,132:132,184:200
QTUR-1-1M,QTUR,1,1M,42.6778,-76.1394,198:198,96:112,211:211,210:210,237:247,199:199,140:144,128:132,184:204
QTUR-1-1N,QTUR,1,1N,42.6778,-76.1394,198:198,96:106,234:234,208:210,229:237,199:199,140:144,132:132,196:196
QTUR-1-1O,QTUR,1,1O,43.6189,-76.0713,198:200,96:106,213:234,210:210,229:229,199:199,140:144,132:132,196:196
QTUR-1-1P,QTUR,1,1P,43.6189,-76.0713,198:198,96:96,211:249,208:208,227:229,199:201,140:140,122:132,178:190
QTUR-1-1Q,QTUR,1,1Q,42.2034,-77.29,190:198,106:106,251:257,208:208,229:233,199:199,144:146,132:135,198:200
QTUR-1-1R,QTUR,1,1R,42.2034,-77.29,198:198,96:106,228:236,198:198,233:235,199:201,142:144,132:138,184:192
QTUR-1-1S,QTUR,1,1S,44.7442,-76.4726,190:198,96:106,232:232,196:210,231:233,199:199,142:146,132:138,184:192
QTUR-1-1T,QTUR,1,1T,44.7442,-76.4726,188:198,96:106,228:234,208:212,229:243,199:201,144:146,138:138,200:200
QTUR-2-2A,QTUR,2,2A,44.6123,-75.1698,198:200,96:106,232:249,210:210,225:229,199:199,144:144,132:135,196:196
QTUR-2-2B,QTUR,2,2B,44.6123,-75.1698,198:198,106:106,209:209,198:198,233:233,199:199,144:144,132:132,190:196
QTUR-2-2C,QTUR,2,2C,44.1969,-76.6725,198:198,106:106,209:209,178:198,229:229,199:199,140:140,132:132,190:190
QTUR-2-2D,QTUR,2,2D,44.1969,-76.6725,198:198,96:96,232:236,198:198,239:239,251:251,140:144,132:132,184:190
QTUR-2-2E,QTUR,2,2E,43.9578,-75.1269,198:198,96:106,230:238,206:208,233:237,201:201,144:146,135:135,194:194
QTUR-2-2F,QTUR,2,2F,43.9578,-75.1269,198:198,128:128,230:230,198:208,213:229,199:199,146:146,132:132,178:196
QTUR-2-2G,QTUR,2,2G,43.8848,-77.9062,222:224,96:96,211:230,206:206,233:235,201:229,144:144,135:135,184:184
QTUR-2-2H,QTUR,2,2H,43.8848,-77.9062,198:222,106:106,211:230,196:206,233:233,201:201,146:146,135:135,180:180
QTUR-2-2I,QTUR,2,2I,43.8424,-75.3436,198:198,106:112,211:228,196:208,221:239,201:201,144:144,132:132,184:196
QTUR-2-2J,QTUR,2,2J,43.8424,-75.3436,198:198,96:112,209:232,200:204,213:233,201:201,144:144,135:138,188:188
QTUR-2-2K,QTUR,2,2K,42.8621,-75.9489,198:200,106:106,211:236,198:208,221:233,199:199,144:144,132:132,194:194
QTUR-2-2L,QTUR,2,2L,42.8621,-75.9489,198:198,106:106,232:251,206:208,231:233,201:201,140:144,132:132,190:190
QTUR-2-2M,QTUR,2,2M,43.8245,-75.0486,186:198,96:106,211:230,196:208,229:229,201:201,140:142,132:132,192:192
QTUR-2-2N,QTUR,2,2N,43.8245,-75.0486,198:198,106:106,234:234,196:206,221:227,251:251,142:144,132:135,180:180
QTUR-2-2O,QTUR,2,2O,44.3454,-76.4765,198:212,96:106,234:236,208:220,233:239,199:199,144:144,132:132,190:200
QTUR-2-2P,QTUR,2,2P,44.3454,-76.4765,198:198,96:96,230:230,202:208,221:227,199:199,142:144,132:132,196:196
QTUR-2-2Q,QTUR,2,2Q,45.1635,-75.8834,198:198,96:96,228:236,196:206,233:233,199:199,144:144,132:132,196:196
QTUR-2-2R,QTUR,2,2R,45.1635,-75.8834,198:198,96:96,211:234,198:198,227:233,199:199,140:146,132:138,184:198
QTUR-2-2S,QTUR,2,2S,45.5689,-75.4149,198:214,96:96,249:249,196:208,209:221,236:238,140:146,132:132,192:204
QTUR-2-2T,QTUR,2,2T,45.5689,-75.4149,190:198,96:96,234:234,206:208,213:229,201:201,140:142,132:132,196:196
QBED1-1-1*,QBED1,1,1*,43.4829,-76.0888,190:198,96:96,226:240,196:196,227:229,201:201,144:144,122:132,200:200
QBED1-1-2,QBED1,1,2,43.4829,-76.0888,198:198,96:106,215:241,206:206,229:239,201:201,144:144,132:135,184:204
QBED1-1-3,QBED1,1,3,43.7124,-75.741,196:198,96:106,251:253,202:206,227:227,NA,144:146,132:135,NA
QBED1-1-4,QBED1,1,4,43.7124,-75.741,198:224,96:96,240:240,206:206,229:229,201:201,144:146,122:132,200:200
QBED1-1-43*,QBED1,1,43*,45.7965,-75.2143,198:198,96:96,234:234,196:198,227:233,199:199,NA,128:128,188:188
QBED1-1-49,QBED1,1,49,45.7965,-75.2143,198:220,96:106,228:253,196:206,243:249,201:201,144:146,132:132,198:198
QBED1-1-50,QBED1,1,50,45.1647,-74.8815,198:198,106:106,209:209,196:202,237:237,199:201,144:144,132:132,186:190
QBED1-1-51,QBED1,1,51,45.1647,-74.8815,198:204,96:106,209:209,196:206,233:233,201:201,144:144,132:132,190:190
QBED1-1-52,QBED1,1,52,43.0293,-74.8701,190:198,96:106,211:228,198:206,213:241,199:201,144:144,132:132,184:184
QBED1-1-6*,QBED1,1,6*,43.0293,-74.8701,200:214,96:96,234:234,194:206,231:231,201:201,142:144,132:132,192:198
QBED1-1-61,QBED1,1,61,46.1765,-75.4024,198:202,96:128,247:249,206:208,213:233,201:201,144:144,132:132,184:198
QBED1-1-62,QBED1,1,62,46.1765,-75.4024,198:198,96:96,240:240,196:206,225:225,199:201,144:144,132:132,200:200
QBED1-1-64,QBED1,1,64,43.6474,-77.0619,198:198,96:96,209:234,208:210,229:231,199:201,144:146,132:135,188:190
QBED1-1-N3,QBED1,1,N3,43.6474,-77.0619,198:198,106:106,234:253,202:206,227:227,244:251,144:146,132:132,202:202
QBED1-1-N4,QBED1,1,N4,43.6871,-76.9875,198:198,106:106,234:241,196:206,251:253,199:201,140:144,132:132,196:196
QBED1-1-N43*,QBED1,1,N43*,43.6871,-76.9875,198:198,106:112,234:234,NA,237:237,199:199,144:144,128:132,198:198
QBED1-1-N44*,QBED1,1,N44*,45.0851,-73.8867,198:198,106:112,209:209,196:214,229:229,199:201,144:146,132:135,184:190
QBED1-1-N51,QBED1,1,N51,45.0851,-73.8867,198:198,96:96,236:236,196:206,213:241,199:199,144:146,122:132,190:190
QBED1-1-N52,QBED1,1,N52,45.6402,-75.7231,198:200,96:106,211:236,206:208,231:241,201:201,144:146,122:128,190:190
QBED1-1-N6*,QBED1,1,N6*,45.6402,-75.7231,198:198,101:112,213:213,206:208,227:233,199:199,144:144,132:132,198:198
QBED1-2-10,QBED1,2,10,44.8051,-76.4709,198:198,106:112,234:243,196:206,229:237,199:207,144:146,122:132,184:184
QBED1-2-12,QBED1,2,12,44.8051,-76.4709,198:198,96:106,238:238,206:206,225:225,199:199,142:146,132:135,180:180
QBED1-2-33,QBED1,2,33,43.483,-78.5068,198:198,96:106,224:238,208:212,235:235,197:201,140:146,132:132,184:190
QBED1-2-34,QBED1,2,34,43.483,-78.5068,198:198,96:106,240:243,176:200,227:227,201:201,140:146,122:132,184:184
QBED1-2-36,QBED1,2,36,43.3535,-75.2341,198:198,106:106,234:236,196:206,221:229,199:199,140:144,122:132,184:184
QBED1-2-67,QBED1,2,67,43.3535,-75.2341,198:198,106:106,217:217,196:206,231:231,199:199,144:144,132:132,190:190
QBED1-2-68,QBED1,2,68,42.987,-75.4534,198:198,96:106,249:249,210:212,231:231,199:199,144:144,132:132,192:192
QBED1-2-69,QBED1,2,69,42.987,-75.4534,198:200,96:96,236:243,196:208,231:231,220:220,144:146,122:135,184:190
QBED1-2-70,QBED1,2,70,47.4092,-76.4505,198:198,96:106,243:243,200:200,225:225,193:199,140:140,124:132,184:192
QBED1-2-71,QBED1,2,71,47.4092,-76.4505,198:198,106:106,234:234,196:206,239:243,199:201,142:144,124:132,NA
QBED1-2-9,QBED1,2,9,43.917,-77.5533,198:202,112:128,234:238,202:208,231:231,201:201,144:146,128:138,184:194
QBED1-2-N11,QBED1,2,N11,43.917,-77.5533,198:198,106:106,209:238,198:208,231:245,199:199,144:144,122:122,190:190
QBED1-2-N12,QBED1,2,N12,46.4217,-75.8473,198:198,106:112,209:213,190:210,213:213,199:199,144:144,122:132,190:202
QBED1-2-N33,QBED1,2,N33,46.4217,-75.8473,198:198,96:128,213:249,190:196,233:239,199:199,144:144,132:135,178:178
QBED1-2-N34,QBED1,2,N34,45.641,-76.2392,198:198,96:106,232:232,208:208,229:229,201:201,144:144,135:135,190:190
QBED1-2-N35,QBED1,2,N35,45.641,-76.2392,198:198,96:106,234:236,208:210,229:229,201:201,146:146,128:135,180:180
QBED1-2-N37,QBED1,2,N37,43.6163,-76.0688,200:200,106:128,249:253,200:206,227:235,199:201,140:144,122:132,198:190
QBED1-2-N71,QBED1,2,N71,43.6163,-76.0688,198:198,106:106,253:253,206:206,239:245,199:199,144:146,132:138,192:204
QBED1-2-N8,QBED1,2,N8,45.6723,-75.7769,198:202,96:117,228:236,206:206,219:243,201:201,144:146,128:138,190:204
QBED1-2-N9,QBED1,2,N9,45.6723,-75.7769,198:198,106:106,234:234,198:206,213:213,199:201,142:146,132:132,184:184
QBED2-1-12,QBED2,1,12,45.1593,-74.6688,198:198,112:128,211:213,198:198,235:235,201:201,144:144,128:132,184:190
QBED2-1-13,QBED2,1,13,45.1593,-74.6688,198:198,96:106,234:241,206:206,227:229,199:201,144:146,122:132,180:196
QBED2-1-14,QBED2,1,14,44.5131,-76.4454,184:184,106:106,213:236,200:200,233:237,201:201,140:144,135:135,186:188
QBED2-1-17,QBED2,1,17,44.5131,-76.4454,196:214,106:106,217:234,196:200,223:247,201:201,144:146,132:135,184:190
QBED2-1-18,QBED2,1,18,46.4161,-72.7098,198:198,96:106,232:232,196:202,237:237,201:201,144:144,132:135,190:190
QBED2-1-19,QBED2,1,19,46.4161,-72.7098,198:198,106:106,232:232,208:208,237:237,199:199,144:144,132:135,184:184
QBED2-1-21,QBED2,1,21,45.4451,-75.5953,198:198,96:106,230:241,192:192,215:235,236:238,140:140,132:138,186:190
QBED2-1-22,QBED2,1,22,45.4451,-75.5953,184:198,96:106,217:238,208:210,215:245,199:199,140:140,132:135,190:190
QBED2-1-23,QBED2,1,23,43.2039,-77.0014,198:198,106:128,234:240,208:210,233:237,236:238,142:144,122:132,194:196
QBED2-1-24,QBED2,1,24,43.2039,-77.0014,198:202,106:112,230:230,192:192,229:229,201:201,144:144,132:132,190:194
QBED2-1-26,QBED2,1,26,46.6676,-77.0615,198:198,96:96,213:213,206:206,237:237,201:201,150:150,135:135,188:188
QBED2-1-58,QBED2,1,58,46.6676,-77.0615,200:200,106:112,213:234,196:200,245:247,236:238,142:144,122:132,190:198
QBED2-1-59,QBED2,1,59,46.1811,-76.1672,184:198,106:106,213:213,200:200,237:237,201:201,140:146,122:135,188:188
QBED2-1-N13,QBED2,1,N13,46.1811,-76.1672,198:198,96:106,234:238,200:208,229:251,201:201,144:146,122:135,196:196
QBED2-1-N14,QBED2,1,N14,45.6956,-75.0522,198:198,106:106,213:213,198:198,235:235,201:201,146:146,122:135,178:190
QBED2-1-N16,QBED2,1,N16,45.6956,-75.0522,196:198,106:112,234:236,198:198,227:227,205:205,140:146,132:132,182:182
QBED2-1-N17,QBED2,1,N17,45.0257,-76.6191,198:198,106:106,232:232,208:208,217:217,199:199,144:144,120:132,194:198
QBED2-1-N20,QBED2,1,N20,45.0257,-76.6191,198:198,106:112,234:234,192:196,215:237,201:201,144:146,132:132,196:196
QBED2-1-N25,QBED2,1,N25,45.6303,-76.2769,198:202,112:112,217:251,210:214,229:233,201:201,144:144,132:135,190:194
QBED2-1-N26,QBED2,1,N26,45.6303,-76.2769,198:198,96:96,213:213,206:208,233:233,201:201,146:150,135:135,188:188
QBED2-2-1,QBED2,2,1,43.5048,-77.3931,198:198,96:96,234:249,208:210,229:233,193:207,142:144,122:128,NA
QBED2-2-2,QBED2,2,2,43.5048,-77.3931,198:198,96:106,234:251,206:206,217:235,201:201,140:144,132:135,180:192
QBED2-2-28,QBED2,2,28,44.4617,-75.5353,198:198,112:112,234:234,206:208,233:233,199:199,142:144,122:132,194:194
QBED2-2-29,QBED2,2,29,44.4617,-75.5353,198:198,112:128,228:228,198:208,227:239,201:201,144:146,122:132,190:190
QBED2-2-3,QBED2,2,3,45.719,-76.4424,188:198,96:106,238:238,196:206,217:237,201:201,140:150,132:135,190:202
QBED2-2-31,QBED2,2,31,45.719,-76.4424,198:212,106:106,234:236,196:206,223:223,199:201,146:146,132:132,196:196
QBED2-2-32,QBED2,2,32,43.7507,-74.4252,198:198,96:96,209:209,202:212,227:235,201:205,144:144,132:135,196:196
QBED2-2-33,QBED2,2,33,43.7507,-74.4252,198:198,117:117,209:209,202:202,227:227,201:201,144:144,135:135,196:196
QBED2-2-34,QBED2,2,34,44.4982,-77.9622,198:198,96:106,209:209,196:204,215:233,201:201,144:144,124:132,190:196
QBED2-2-35,QBED2,2,35,44.4982,-77.9622,198:210,106:112,209:211,208:210,217:233,199:199,146:146,132:132,196:196
QBED2-2-36,QBED2,2,36,44.6481,-75.196,198:212,106:128,232:243,196:208,209:237,193:193,142:146,132:132,184:184
QBED2-2-37,QBED2,2,37,44.6481,-75.196,188:198,96:112,234:234,204:206,221:243,201:201,144:146,122:132,194:202
QBED2-2-39,QBED2,2,39,44.6605,-76.2436,198:198,96:106,236:241,196:208,219:221,236:238,140:142,135:135,180:202
QBED2-2-4,QBED2,2,4,44.6605,-76.2436,198:198,96:101,228:232,206:208,227:229,201:201,142:144,132:135,190:200
QBED2-2-40,QBED2,2,40,45.7983,-75.3246,208:210,96:112,238:249,206:208,247:247,201:201,144:144,132:135,202:202
QBED2-2-56,QBED2,2,56,45.7983,-75.3246,188:190,96:106,209:217,204:206,229:231,199:201,144:146,128:132,184:190
QBED2-2-57,QBED2,2,57,44.7675,-76.1203,198:198,96:106,213:213,196:206,215:215,201:201,144:146,122:122,186:186
QBED2-2-60,QBED2,2,60,44.7675,-76.1203,188:200,96:112,209:236,206:208,217:217,201:201,140:144,132:132,190:202
QBED2-2-7,QBED2,2,7,45.9606,-76.7113,198:198,101:101,251:251,208:208,231:231,199:199,144:144,132:132,190:190
QBED2-2-N36,QBED2,2,N36,45.9606,-76.7113,198:212,106:106,217:232,196:208,209:227,201:201,144:146,132:132,184:184
QLL1-1-10,QLL1,1,10,45.7811,-75.628,198:198,112:128,234:234,206:208,227:227,201:201,144:144,124:132,194:200
QLL1-1-11,QLL1,1,11,45.7811,-75.628,188:198,96:106,232:232,206:206,229:247,199:201,144:144,132:135,178:194
QLL1-1-12,QLL1,1,12,43.7218,-75.4759,198:216,96:112,232:238,208:210,247:249,201:201,144:146,132:132,200:200
QLL1-1-13,QLL1,1,13,43.7218,-75.4759,198:204,96:96,228:251,196:206,229:233,201:201,144:146,132:132,200:200
QLL1-1-14,QLL1,1,14,44.7917,-75.1711,198:198,96:96,234:236,208:208,229:229,199:201,144:146,132:132,196:196
QLL1-1-15,QLL1,1,15,44.7917,-75.1711,198:204,96:96,234:234,196:206,229:229,199:201,144:146,132:132,190:196
QLL1-1-16,QLL1,1,16,43.2943,-76.2827,198:198,106:106,228:240,206:208,227:229,201:201,144:144,132:132,200:200
QLL1-1-1A,QLL1,1,1A,43.2943,-76.2827,198:198,96:106,245:245,196:196,229:239,199:199,140:144,128:135,196:196
QLL1-1-1B,QLL1,1,1B,44.0922,-77.4555,198:202,106:106,228:251,196:206,237:241,201:201,142:146,128:132,200:200
QLL1-1-1C,QLL1,1,1C,44.0922,-77.4555,198:198,96:112,234:249,204:206,227:231,201:201,144:146,132:135,190:196
QLL1-1-1D,QLL1,1,1D,43.6303,-76.946,198:198,96:112,228:253,206:208,241:247,201:201,144:144,132:135,190:202
QLL1-1-29,QLL1,1,29,43.6303,-76.946,198:198,101:128,236:249,206:206,217:225,199:199,140:142,132:132,178:196
QLL1-1-30,QLL1,1,30,44.9496,-75.4028,198:198,96:101,228:245,204:208,217:233,201:201,144:146,132:132,192:196
QLL1-1-7,QLL1,1,7,44.9496,-75.4028,198:198,96:128,213:222,208:208,229:233,199:199,142:144,132:132,190:204
QLL1-1-8,QLL1,1,8,45.2124,-77.1373,198:216,106:106,238:238,208:208,245:245,199:199,146:150,124:132,200:200
QLL1-1-9,QLL1,1,9,45.2124,-77.1373,198:198,106:112,234:238,208:208,229:237,199:199,140:144,132:132,190:194
QLL1-1-N10,QLL1,1,N10,44.1692,-77.8021,198:198,106:106,238:251,208:210,227:229,199:199,144:144,132:135,194:194
QLL1-1-N11,QLL1,1,N11,44.1692,-77.8021,198:198,96:106,211:228,208:208,227:227,201:201,144:144,132:138,192:200
QLL1-1-N12,QLL1,1,N12,44.5141,-75.1834,198:198,96:128,209:228,196:210,227:247,199:201,144:144,132:132,190:200
QLL1-1-N13,QLL1,1,N13,44.5141,-75.1834,198:198,96:96,228:253,208:212,227:233,199:199,144:144,132:132,200:200
QLL1-2-2A,QLL1,2,2A,43.9588,-78.1396,198:198,96:106,238:241,206:208,221:231,197:201,140:144,122:132,190:200
QLL1-2-2B,QLL1,2,2B,43.9588,-78.1396,198:198,96:96,209:213,198:204,243:243,199:199,144:144,122:122,196:196
QLL1-2-2C,QLL1,2,2C,45.5643,-75.4422,198:198,106:106,238:241,196:210,227:239,197:199,140:144,132:138,200:200
QLL1-2-2D,QLL1,2,2D,45.5643,-75.4422,198:198,117:128,228:236,208:210,231:239,199:199,144:146,132:132,198:198
QLL1-2-2E,QLL1,2,2E,45.4921,-75.974,198:200,106:106,230:232,206:208,229:237,199:199,144:144,132:132,184:198
QLL1-2-2F,QLL1,2,2F,45.4921,-75.974,198:198,96:96,241:241,206:206,229:231,201:201,144:146,124:132,198:200
QLL1-2-2G,QLL1,2,2G,44.0049,-78.6004,198:200,106:112,209:240,198:206,225:229,199:199,144:146,124:132,198:200
QLL1-2-2H,QLL1,2,2H,44.0049,-78.6004,198:200,106:128,209:243,196:202,229:239,201:201,144:146,128:132,188:188
QLL1-2-2I,QLL1,2,2I,43.8437,-77.6574,186:190,96:106,234:253,196:206,233:245,201:201,146:146,122:132,192:200
QLL1-2-2J,QLL1,2,2J,43.8437,-77.6574,198:198,106:112,213:253,194:196,217:253,199:201,144:144,122:122,194:196
QLL1-2-2K,QLL1,2,2K,47.5262,-75.3639,200:200,106:106,228:251,208:210,225:225,199:201,144:144,132:132,190:192
QLL1-2-2L,QLL1,2,2L,47.5262,-75.3639,198:198,96:96,228:228,196:196,233:233,201:201,146:146,132:132,184:184
QLL1-2-2M,QLL1,2,2M,43.8542,-76.8155,198:198,112:128,209:247,206:206,237:239,199:201,144:144,132:132,190:190
QLL1-2-2N,QLL1,2,2N,43.8542,-76.8155,198:198,96:106,234:240,198:206,237:243,199:201,140:144,122:132,190:200
QLL1-2-2P,QLL1,2,2P,45.3626,-75.7585,198:198,96:96,228:240,198:208,239:243,201:201,144:144,132:135,194:200
QLL1-2-2Q,QLL1,2,2Q,45.3626,-75.7585,198:198,96:96,240:245,196:206,235:243,199:201,144:144,124:132,194:200
QLL1-2-N22,QLL1,2,N22,44.8678,-75.6482,198:198,106:106,209:209,208:208,229:235,199:199,144:144,132:132,192:192
QLL1-2-N23,QLL1,2,N23,44.8678,-75.6482,198:198,106:112,232:234,206:208,229:233,201:201,144:146,135:135,196:196
QLL1-2-N24,QLL1,2,N24,43.7095,-75.7391,198:198,106:112,213:253,194:196,217:217,199:201,144:144,122:122,194:194
QLL1-2-N25,QLL1,2,N25,43.7095,-75.7391,198:212,106:112,234:255,NA,225:227,199:201,146:146,122:132,200:200
QLL3-1-1,QLL3,1,1,44.4326,-78.9195,186:198,106:106,209:234,196:210,229:229,201:201,144:146,132:132,184:192
QLL3-1-10,QLL3,1,10,44.4326,-78.9195,198:198,112:112,215:251,204:204,215:233,199:199,140:140,132:135,NA
QLL3-1-11,QLL3,1,11,45.3678,-75.1457,198:200,96:106,215:215,206:208,247:247,201:201,144:144,132:135,198:198
QLL3-1-14,QLL3,1,14,45.3678,-75.1457,198:200,96:106,209:215,208:208,229:253,199:199,144:146,132:135,192:192
QLL3-1-16,QLL3,1,16,44.7334,-75.8969,198:198,96:96,232:251,208:208,213:231,199:201,144:144,122:135,196:196
QLL3-1-17,QLL3,1,17,44.7334,-75.8969,200:200,96:96,232:232,208:210,231:235,201:201,140:140,122:132,192:192
QLL3-1-2,QLL3,1,2,44.5363,-76.0515,186:198,96:106,234:236,198:198,235:243,201:201,144:144,132:132,184:196
QLL3-1-3*,QLL3,1,3*,44.5363,-76.0515,184:198,96:106,249:251,210:210,203:203,201:201,140:144,132:135,190:190
QLL3-1-32*,QLL3,1,32*,44.8485,-76.0842,190:190,96:96,251:251,208:208,229:251,201:201,144:146,132:132,192:192
QLL3-1-4*,QLL3,1,4*,44.8485,-76.0842,198:198,96:106,213:215,208:210,229:229,199:199,140:144,132:132,192:192
QLL3-1-46,QLL3,1,46,43.5246,-76.6849,198:198,96:101,234:238,208:208,229:235,201:201,144:146,135:138,190:200
QLL3-1-47,QLL3,1,47,43.5246,-76.6849,198:198,96:96,234:240,210:210,233:237,197:205,144:146,128:132,190:192
QLL3-1-48,QLL3,1,48,44.3859,-76.3092,198:198,106:106,234:251,198:198,235:235,199:201,144:144,132:132,192:196
QLL3-1-52,QLL3,1,52,44.3859,-76.3092,200:200,96:96,226:238,200:200,235:239,201:201,144:146,132:138,190:194
QLL3-1-54,QLL3,1,54,45.0877,-75.287,198:200,96:106,209:213,190:190,235:249,197:197,144:144,132:132,192:194
