ind,pop,quadrat,plant,lon,lat,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9
QBED1-2-33,QBED1,2,33,44.007,-77.9105,198:198,96:106,224:238,208:212,235:235,197:201,140:146,132:132,184:190
QBED1-2-34,QBED1,2,34,44.007,-77.9105,198:198,96:106,240:243,176:200,227:227,201:201,140:146,122:132,184:184
QBED1-2-36,QBED1,2,36,45.0981,-78.1807,198:198,106:106,234:236,196:206,221:229,199:199,140:144,122:132,184:184
QBED1-2-67,QBED1,2,67,45.0981,-78.1807,198:198,106:106,217:217,196:206,231:231,199:199,144:144,132:132,190:190
QBED1-2-68,QBED1,2,68,45.0483,-76.8799,198:198,96:106,249:249,210:212,231:231,199:199,144:144,132:132,192:192
QBED1-2-69,QBED1,2,69,45.0483,-76.8799,198:200,96:96,236:243,196:208,231:231,220:220,144:146,122:135,184:190
QBED1-2-70,QBED1,2,70,42.4448,-76.4523,198:198,96:106,243:243,200:200,225:225,193:199,140:140,124:132,184:192
QBED1-2-71,QBED1,2,71,42.4448,-76.4523,198:198,106:106,234:234,196:206,239:243,199:201,142:144,124:132,NA
QBED1-2-9,QBED1,2,9,43.2744,-76.7817,198:202,112:128,234:238,202:208,231:231,201:201,144:146,128:138,184:194
QBED1-2-N11,QBED1,2,N11,43.2744,-76.7817,198:198,106:106,209:238,198:208,231:245,199:199,144:144,122:122,190:190
QBED1-2-N12,QBED1,2,N12,43.8425,-76.2758,198:198,106:112,209:213,190:210,213:213,199:199,144:144,122:132,190:202
QBED1-2-N33,QBED1,2,N33,43.8425,-76.2758,198:198,96:128,213:249,190:196,233:239,199:199,144:144,132:135,178:178
QBED1-2-N34,QBED1,2,N34,45.0217,-76.7236,198:198,96:106,232:232,208:208,229:229,201:201,144:144,135:135,190:190
QBED1-2-N35,QBED1,2,N35,45.0217,-76.7236,198:198,96:106,234:236,208:210,229:229,201:201,146:146,128:135,180:180
QBED1-2-N37,QBED1,2,N37,45.3462,-75.2408,200:200,106:128,249:253,200:206,227:235,199:201,140:144,122:132,198:190
QBED1-2-N71,QBED1,2,N71,45.3462,-75.2408,198:198,106:106,253:253,206:206,239:245,199:199,144:146,132:138,192:204
QBED1-2-N8,QBED1,2,N8,44.3697,-76.6029,198:202,96:117,228:236,206:206,219:243,201:201,144:146,128:138,190:204
QBED1-2-N9,QBED1,2,N9,44.3697,-76.6029,198:198,106:106,234:234,198:206,213:213,199:201,142:146,132:132,184:184
QBED2-1-12,QBED2,1,12,44.0262,-77.1083,198:198,112:128,211:213,198:198,235:235,201:201,144:144,128:132,184:190
QBED2-1-13,QBED2,1,13,44.0262,-77.1083,198:198,96:106,234:241,206:206,227:229,199:201,144:146,122:132,180:196
